rawi_index,name,grade,places,birth,death,date_birth,date_death
4181,عبيد الله بن عبد الله بن أقرم بن زيد,ثقة,[],39.23809523809524,104.23809523809524,,
4182,عبيد الله بن عبد الله بن أبي ثور,ثقة,[],39.23809523809524,104.23809523809524,,
4183,عبيد الله بن عبد الله بن الأصم,مقبول,[],74.0,139.0,,
4184,عبيد الله بن عبد الله بن عتبة بن مسعود,ثقة فقيه ثبت,['المدينة'],30.599999999999994,95.6,,قال البخاري : مات قبل علي بن الحسين 94هـ أو 95هـ ، وقال ابن نمير ، وغيره : مات  98 هـ ، وقال ابن المديني : 99هـ ، وقال أبو نعيم : أن علي بن الحسين مات 92هـ
4185,عبيد الله بن عبد الله بن الحصين بن محصن ، وقد ينسب إلى جده ، وقيل : عبد الله بن عبد الله ، قال البخاري : ولا يصح,فيه لين,[],50.5,115.5,,بين 111 هـ إلى 120 هـ
4186,عبيد الله بن عبد الله بن ثعلبة ، وقيل : عبد الله بن عبيد الله ، وقيل : غير ذلك,لا يعرف,[],39.23809523809524,104.23809523809524,,
4187,عبيد الله بن عبد المجيد ، وقال بعضهم في نسبه : عبيد الله بن عبد المجيد بن عبيد الله بن شريك,صدوق,['البصرة'],144.0,209.0,,209 هـ
4188,عبيد الله بن عبيد,صدوق,['دمشق'],67.0,132.0,,132 هـ
4189,عبيد الله بن عبيد الرحمن ، ويقال : ابن عبد الرحمن,ثقة مأمون ، أثبت الناس كتابا في الثوري,['بغداد'],117.0,182.0,,182 هـ
4190,عبيد الله بن عدي بن الخيار بن عدي بن نوفل بن عبد مناف بن قصي,وكان هو في الفتح مميزا فعدّ في الصحابة لذلك . وعدّه العجلي وغيره في ثقات كبار التابعين,['المدينة'],30.5,95.5,على عهد رسول الله صلى الله عليه وسلم,95 هـ أو 96 هـ
4191,عبيد الله بن عكراش بن ذؤيب بن حرقوص بن جعدة بن عمرو بن النزال بن مرة بن عبيد بن مقاعس بن عمرو بن كعب بن سعد بن زيد مناة بن تميم,قال البخاري : لا يثبت حديثه,[],39.23809523809524,104.23809523809524,,
4192,عبيد الله بن علي بن أبي رافع ، ويقال : علي بن عبيد الله ، قال الترمذي وعبيد الله بن علي أصح,لين الحديث,[],74.0,139.0,,
4193,عبيد الله بن علي بن عرفطة ، وقيل : عبيد بن علي,مجهول,[],55.0,120.0,,
4194,عبيد الله بن عمر,مقبول,[],74.0,139.0,,
4195,عبيد الله بن عمر بن حفص بن عاصم بن عمر بن الخطاب,ثقة ثبت,['المدينة'],80.5,145.5,,144هـ أو 145هـ أو 146هـ أو 147هـ
4196,عبيد الله بن عمر بن ميسرة,ثقة ثبت,['بغداد'],150.0,234.0,150 هـ,233هـ أو 234هـ  أو 235هـ
4197,عبيد الله بن عمرو بن أبي الوليد,ثقة فقيه ، ربما وهم,"['الكوفة', 'الرقة']",101.0,180.5,101 هـ,180 هـ  أو 181هـ
4198,عبيد الله بن فضالة بن إبراهيم,ثقة ثبت,[],176.0,241.0,,241 هـ
4199,عبيد الله بن القبطية,ثقة,[],55.0,120.0,,
4200,عبيد الله بن كعب بن مالك,ثقة,[],39.23809523809524,104.23809523809524,,
4203,عبيد الله بن محمد بن حفص بن عمر بن موسى بن عبيد الله بن معمر,ثقة جواد ، رمي بالقدر ، ولم يثبت,"['البصرة', 'بغداد']",163.5,228.5,,228هـ  أو 229هـ
4204,عبيد الله بن محمد بن يزيد بن خنيس,مقبول,[],187.0,252.0,,252 هـ
4205,عبيد الله بن مسلم ، ويقال : ابن أبي مسلم ، ويقال : عبيد الله بن مسلم بن شعبة ، ويقال : عبد الله,صحابي ، له حديثان  ويقال : تابعي,[],-65.0,0.0,,
4206,عبيد الله بن معاذ بن معاذ بن نصر بن حسان بن الحر بن مالك بن الخشخاش,ثقة حافظ,['البصرة'],171.0,236.0,,237هـ أو 238هـ  ويقال : 233هـ
4207,"عبيد الله بن المغيرة بن أبي بردة , وقد ينسب إلى جده",مقبول,[],55.0,120.0,,
4208,عبيد الله بن المغيرة بن معيقيب,صدوق,[],66.0,131.0,,131 هـ
4209,عبيد الله بن مقسم,ثقة مشهور,[],40.5,105.5,,بين 101 هـ إلى 110 هـ
4210,عبيد الله بن موسى بن أبي المختار : باذام,ثقة ، كان يتشيع,"['الكوفة', 'مكة']",128.0,213.0,128 هـ,212 هـ أو 213 هـ أو 214 هـ
4211,عبيد الله بن النضر بن عبد الله بن مطر,لا بأس به,[],90.5,155.5,,بين 151 هـ إلى 160 هـ
4212,عبيد الله بن هرير بن عبد الرحمن بن رافع بن خديج,مستور,[],96.0,161.0,,
4213,عبيد الله بن الوازع,مجهول,[],96.0,161.0,,
4214,عبيد الله بن الوليد,ضعيف,[],80.5,145.5,,بين 141 هـ إلى 150 هـ
4216,عبيد الله بن يزيد بن إبراهيم ، وفى الكاشف ابن زيد,مجهول,[],170.5,235.5,,
4217,عبيد الله بن يوسف,صدوق,[],185.0,250.0,,فى حدود 250هـ  ،او بعدها بيسير
4218,عبيد الله مولى عمر بن مسلم,,[],-65.0,0.0,,
4219,عبيدة,مجهول,[],74.0,139.0,,
4220,عبيدة بن أبي رائطة,صدوق,['البصرة'],100.5,165.5,,بين 161 هـ و170 هـ
4221,عبيدة بن الأسود بن سعيد,صدوق ، ربما دلس,[],120.5,185.5,,بين 181 هـ و190 هـ
4222,عبيدة بن بلال,مجهول الحال,['بخارى'],95.0,160.0,,160 هـ
4223,عبيدة بن حميد بن صهيب,صدوق ، نحوي . ربما أخطأ,['بغداد'],108.0,190.0,107 هـ ، أو 109 هـ,190 هـ
4224,عبيدة بن سفيان بن الحارث بن الحضرمي : عبد الله بن عماد بن أكبر,ثقة,['دار الحضرميين في جديلة'],40.5,105.5,,بين 101 هـ و110 هـ
4225,عبيدة بن عمرو ، ويقال : ابن قيس بن عمرو,تابعي كبير ، مخضرم ، فقيه ثبت,['الكوفة'],5.5,70.5,,62 هـ ، او 63 هـ  ، أو 72 هـ ، أو 73 هـ قاله الترمذي وقعنب بن المحرر  ، أو 74 هـ  ، وقيل 76 هـ ، وقال ابن حجر في التقريب : والصحيح أنه مات قبل 70 هـ ، وقال مغلطاي في الإكمال : الأصح في وفاته  74 هـ
4226,عبيدة بن مسافع,مقبول,[],55.0,120.0,,
4227,عبيدة بن معتب,ضعيف ، واختلط بآخره,[],80.5,145.5,,141 هـ : 150 هـ
4230,عتاب,صدوق,['البصرة'],55.0,120.0,,
4231,عتاب بن أسيد بن أبي العيص بن أمية بن عبد شمس بن عبد مناف بن قصي,له صحبة,['مكة'],-45.5,19.5,,12 هـ ، أو 21 هـ ، أو 22 هـ ، أو 23 هـ
4232,عتاب بن بشير,صدوق يخطئ,['حران'],124.0,189.0,,188 هـ ، أو 190 هـ
4233,عتاب بن حنين ، ويقال : ابن أبي حنين,مقبول,[],55.0,120.0,,
4234,عتاب بن زياد,صدوق,"['بغداد', 'الري']",147.0,212.0,,212 هـ
4235,عتاب بن عبد العزيز,مقبول,[],100.5,165.5,,بين 161 هـ و170 هـ
4237,عتبان بن مالك بن عمرو بن العجلان بن زيد بن غنم بن سالم بن عوف بن عمرو بن عوف بن الخزرج ، وقيل: عتبان بن مالك بن ثعلبة بن العجلان بن عمرو بن العجلان بن زيد بن سالم بن عوف بن عمرو بن عوف بن الخزرج,صحابي شهير,"['المدينة', 'اسط']",-2.0,63.0,,في خلافة معاوية
4238,عتبة بن أبي حكيم,صدوق يخطئ كثيرا,"['الطبرية', 'صور', 'مصر']",82.0,147.0,,147 هـ
4239,عتبة بن أبي عتبة : مسلم,ثقة,[],70.5,135.5,,بين 131 هـ و140 هـ
4240,عتبة بن حماد بن خليد,صدوق,['دمشق'],130.5,195.5,,بين 191 هـ و200 هـ
4241,عتبة بن حميد,صدوق ، له أوهام,[],70.5,135.5,,بين 131 هـ و140 هـ
4242,عتبة بن عبد ، يقال : كان اسمه عتلة ، ويقال : نشبة ، فسماه النبي صلى الله عليه وسلم عتبة ، قال البخاري : ويقال : ابن عبد الله ، ولا يصح . وجزم ابن حبان بأنه عتبة بن عبد الله,صحابي شهير,['الشام'],25.0,90.0,,87 هـ ، أو 91 هـ ، أو 92 هـ
4243,عتبة بن عبد الله ، ويقال : ابن عبيد الله ، ويقال :  زرعة بن عبد الرحمن,مجهول,[],74.0,139.0,,
4244,عتبة بن عبد الله بن عتبة,صدوق,[],179.0,244.0,,244 هـ
4245,عتبة بن عبد الله بن عتبة بن عبد الله بن مسعود,ثقة,[],80.5,145.5,,بين 141 هـ و150 هـ
4246,عتبة بن عبد الملك,مقبول,[],96.0,161.0,,
4247,عتبة بن عويم بن ساعدة,صحابي,[],-5.583333333333329,59.41666666666667,,
4248,عتبة بن غزوان بن جابر بن وهيب بن نسيب بن زيد بن مالك بن الحارث بن عوف بن مازن بن منصور بن عكرمة بن خصفة بن قيس عيلان بن مضر,صحابي جليل,"['الحبشة', 'المدينة', 'البصرة', 'مازن', 'طريق البصرة', 'يقال : معدن بني سليم', 'قيل : مات بالربذة', 'قال العسكري : مات بالمدينة', 'في كتاب ابن منده : غزة']",-48.0,17.0,,14 هـ ، أو 17 هـ ، أو 20 هـ
4249,عتبة بن فرقد بن يربوع بن حبيب بن مالك بن أسعد بن رفاعة بن ربيعة بن رفاعة بن الحارث بن بهثة بن سليم,صحابي,"['الكوفة', 'الموصل', 'أذربيجان']",-19.5,45.5,,بين 41 هـ و50 هـ
4250,عتبة ، ويقال : عقبة بن محمد بن الحارث بن نوفل,مقبول,[],55.0,120.0,,
4251,عتبة بن الندر,صحابي,"['مصر', 'دمشق']",19.0,84.0,,84 هـ
4252,عتبة بن يقظان,ضعيف,[],74.0,139.0,,
4253,عتي بن ضمرة ، ويقال : عتي بن زيد بن ضمرة بن يزيد بن شبل بن حيان بن الحارث بن عمرو بن كعب بن عبد شمس بن سعد بن زيد مناة بن تميم,ثقة,[],-18.0,47.0,,47 هـ
4254,عتيك بن الحارث بن عتيك,مقبول,[],55.0,120.0,,
4255,عثام بن علي بن هجير بن بجير بن زرعة بن عمرو بن مالك بن خالد بن ربيعة بن الوحيد : عامر بن كعب بن عامر بن كلاب,صدوق,"['خراسان', 'الكوفة']",125.66666666666666,190.66666666666666,,أو 194  ، أو 195 هـ ، وفى تاريخ ابن قانع  : 183 هـ
4256,عثمان ، يقال : ابن ميمون ، ويقال : ابن عبد الله,لا بأس به,[],90.5,155.5,,بين 151 هـ إلى 160 هـ
4257,عثمان بن أبي العاتكة : سليمان,صدوق ، ضعفوه في روايته عن علي بن يزيد الألهاني,['دمشق'],87.0,152.0,,149 هـ ، أو 152 هـ ، أو 155 هـ
4258,عثمان بن أبي العاصي بن بشر بن عبد دهمان بن عبد الله ابن همام,صحابي شهير,"['البصرة', 'الطائف', 'عمان']",-13.0,52.0,,50 هـ ، أو 51 هـ ، أو 55 هـ
4259,عثمان بن أبي حازم بن صخر بن العيلة,مقبول,[],74.0,139.0,,
4260,عثمان بن أبي رواد,ثقة,[],90.5,155.5,,بين 151 هـ و160 هـ
4261,عثمان بن أبي سليمان بن جبير بن مطعم بن عدي بن نوفل,ثقة,['مكة'],60.5,125.5,,بين 121 هـ و130 هـ
4262,عثمان بن أبي سودة,ثقة,[],50.5,115.5,,111 هـ : 120 هـ
4263,عثمان بن إسحاق بن خرشة ، ويقال : عثمان بن إسحاق بن عبد الله بن أبي خرشة بن عمرو بن ربيعة بن الحارث بن خبيب بن خزيمة بن مالك بن حسل بن عامر بن لؤي,وثقه ابن معين في رواية الدوري,[],70.0,135.0,,
4264,عثمان بن إسماعيل بن عمران,مقبول,['خارج باب الصغير'],180.5,245.5,,بين241 هـ و250 هـ
4265,عثمان بن الأسود بن موسى بن باذان,ثقة ثبت,"['المدينة', 'مكة']",83.0,148.0,,146 هـ ، أو 147 هـ ، أو 149 هـ ، أو 150 هـ
4266,عثمان بن جبلة بن أبي رواد,ثقة,['الكوفة'],135.0,200.0,,على رأس 200 هـ
4267,عثمان بن جبير,مقبول,[],74.0,139.0,,
4268,عثمان بن الجهم,مقبول,[],74.0,139.0,,
4269,عثمان بن حاضر ،  ويقال : عثمان بن أبي حاضر,صدوق,[],50.5,115.5,,بين 111 هـ و120 هـ
4270,عثمان بن حصن بن علاق ، ويقال : ابن حصن بن عبيدة بن علاق ، ويقال : عثمان بن عبيدة بن حصن بن علاق ، ويقال : عثمان بن عبد الرحمن بن حصن بن عبيدة بن علاق,ثقة,[],120.5,185.5,,بين 181 هـ و190 هـ
4271,عثمان بن حفص بن عمر بن خلدة,,['المدينة'],-65.0,0.0,,
4272,عثمان بن الحكم,صدوق ، له أوهام .,"['وكان ينزل خولان في بني عبد الله', 'مصر']",98.0,163.0,,163 هـ
4273,عثمان بن حكيم بن ذبيان,مقبول,[],154.0,219.0,,219 هـ
4274,عثمان بن حكيم بن عباد بن حنيف,ثقة,['الكوفة'],74.0,139.0,,138 هـ ، قبل 140 هـ
4275,عثمان بن حنيف بن وهب بن العكيم,صحابي شهير,"['البصرة', 'الكوفة', 'بغداد', 'العراق']",-2.0,63.0,,في خلافة معاوية
4276,عثمان بن حيان بن معبد بن شداد بن نعمان بن رباح بن أسعد بن ربيعة بن عامر بن يربوع بن غيظ بن مرة بن عوف بن سعد بن ذبيان بن بغيض بن ريث بن غطفان بن سعد بن قيس عيلان بن مضر بن نزار بن معد بن عدنان,مقبول,"['دمشق في زقاق بني مرة', 'المدينة']",40.0,105.0,,بعد 105 هـ
4277,عثمان بن خالد بن عمر بن عبد الله بن الوليد بن عثمان بن عفان,متروك الحديث,[],141.0,206.0,,بين 201 هـ و211 هـ
4278,عثمان بن ربيعة بن عبد الله بن الهدير,مقبول,[],55.0,120.0,,
4279,عثمان بن زائدة,ثقة ، زاهد,"['الرى', 'الري']",90.5,155.5,,بين 151 هـ و160 هـ
4280,عثمان بن زفر,مجهول,[],65.0,130.0,,بعد 130 هـ
4281,عثمان بن زفر بن مزاحم بن زفر ، وقيل : عثمان بن زفر بن علاج بن مالك بن الحارث بن عامر بن جساس بن نشبة بن ربيع بن عمرو بن عبد الله بن لؤي بن عمرو بن الحارث بن تيم الله بن عبد مناة بن أد التيمي,صدوق,[],153.0,218.0,,218 هـ
4282,عثمان بن السائب,مقبول,[],74.0,139.0,,
4283,عثمان بن سعد,ضعيف,[],90.5,155.5,,بين 151 هـ و160 هـ
4284,عثمان بن سعيد بن كثير بن دينار,ثقة ، عابد,[],144.0,209.0,,209 هـ
4285,عثمان بن شماس ، ويقال : عثمان بن جحاش,مقبول,[],55.0,120.0,,
4286,عثمان بن صالح بن سعيد بن يحيى,ثقة,['بغداد'],191.0,256.0,,256 هـ
4287,عثمان بن صالح بن صفوان,صدوق,['مصر'],144.0,229.0,144 هـ,219 هـ ، أو 239 هـ
4288,عثمان بن الضحاك بن عثمان,ضعيف,['الشام'],-65.0,0.0,,
4289,عثمان بن طلحة بن أبي طلحة : عبد الله بن عبد العزى بن عثمان بن عبد الدار بن قصي بن كلاب,صحابي شهير,"['مكة', 'المدينة', 'قيل : أجنادين :', 'لكن  العسكرى قال هذا باطل']",-23.0,42.0,,42 هـ
4290,عثمان بن عاصم بن حصين ويقال عثمان بن عاصم بن زيد بن كثير بن زيد بن مرة,ثقة ثبت سني ، وربما دلس,['الكوفة'],63.5,128.5,,127 هـ ، أو 128 هـ ، أو 129 هـ ، أو 130 هـ
4291,عثمان بن عبد الرحمن,مجهول,[],74.0,139.0,,
4292,عثمان بن عبد الرحمن بن عبد الله بن سالم,ليس بالقوي,[],119.0,184.0,,184 هـ
4293,عثمان بن عبد الرحمن بن عثمان بن عبيد الله,ثقة,[],60.5,125.5,,121 هـ : 130 هـ
4294,عثمان بن عبد الرحمن بن مسلم,صدوق ، أكثر الرواية عن الضعفاء والمجاهيل فضعف بسبب ذلك حتى نسبه ابن نمير إلى الكذب . وقد وثقه ابن معين,[],152.0,217.0,,202 هـ ، أو 203 هـ ، أو 230 هـ ، أو 233 هـ
4295,عثمان بن عبد الرحمن بن عمر بن سعد بن أبي وقاص,متروك ، وكذبه ابن معين,[],96.0,161.0,,في خلافة الرشيد
4296,عثمان بن عبد الله بن الحكم بن الحارث,مجهول,[],39.23809523809524,104.23809523809524,,
4297,عثمان بن عبد الله بن محمد بن خرزاذ ، وهو  : عثمان بن خرزاذ,ثقة,"['أنطاكية', 'مصر', 'الشام']",217.33333333333331,282.3333333333333,,281 هـ ، أو 282 هـ ، أو 284 هـ
4298,عثمان بن عبد الله بن أوس بن أبي أوس : حذيفة,مقبول,[],39.23809523809524,104.23809523809524,,
4299,عثمان بن عبد الله بن الأسود,مقبول,[],70.0,135.0,,
4300,عثمان بن عبد الله بن سراقة بن المعتمر بن أنيس بن أذاة بن رباح بن عبد الله بن قرط بن رزاح بن عدي,ثقة,['مكة'],53.0,118.0,بعد موت أبي قتادة بأحد عشر عاما,118 هـ
4301,عثمان بن عبد الله بن موهب ، وقد ينسب إلى جده,ثقة,"['بغداد', 'الكوفة', 'البصرة', 'العراق', 'زقاق اللبادين']",55.0,120.0,,بعد 120 هـ
4302,عثمان بن عبد الملك,لين الحديث,[],90.5,155.5,,بين 151 هـ و160 هـ
4303,عثمان بن عبيد,مقبول,[],90.5,155.5,,بين 151 هـ و160 هـ
4304,عثمان بن عثمان,صدوق ، ربما وهم,['البصرة'],120.5,185.5,,بين 181 هـ و190 هـ
4305,عثمان بن عروة بن الزبير بن العوام,ثقة,[],71.5,136.5,,136 هـ ، أو 137 هـ
4306,عثمان بن عطاء بن أبي مسلم : عبد الله ، وقيل : ميسرة,ضعيف,"['فلسطين', 'الإسكندرية']",88.0,153.33333333333334,88 هـ,قال ابن يونس : 151 هـ ، وعن ابن الأثير : 154 هـ ، وقال ضمرة : 155 هـ
4307,عثمان بن عفان بن أبي العاص بن أمية بن عبد شمس بن عبد مناف,أحد السابقين الأولين والخلفاء الأربعة ، والعشرة المبشرة,"['المدينة', 'الحبشة']",-30.0,35.0,بعد الفيل بست سنين,35 هـ
4308,عثمان بن عمر بن فارس بن لقيط بن قيس,ثقة . قيل : كان يحيى بن سعيد لا يرضاه,"['البصرة', 'بغداد']",143.0,208.0,,207 هـ ، أو 208 هـ ، أو 209 هـ
4309,عثمان بن عمر بن موسى بن عبيد الله بن معمر بن عثمان بن عمرو بن كعب بن سعد بن تيم بن مرة بن كعب بن لؤي بن غالب,مقبول,"['المدينة', 'الحيرة']",60.0,139.0,بعد 60 هـ,في خلافة المنصور ، قبل بناء مدينة السلام
4310,عثمان بن عمرو بن ساج ، وقد ينسب إلى جده,فيه ضعف,['حران'],63.0,128.0,,في حدود سنة  128 هـ
4311,"عثمان بن عمير , ويقال : ابن قيس ,  ويقال : ابن أبي حميد",ضعيف واختلط . وكان يدلس ويغلو في التشيع,[],85.0,150.0,,150 هـ تقريبا
4312,عثمان بن غياث,ثقة . رمي بالإرجاء,['البصرة'],90.5,155.5,,بين 151 هـ و160 هـ
4313,عثمان بن فائد,ضعيف,[],138.5,203.5,,
4314,عثمان بن فرقد,صدوق ، ربما خالف,[],130.5,195.5,,بين 191 هـ و200 هـ
4316,عثمان بن محمد بن أبي شيبة : إبراهيم بن عثمان بن خواستي,ثقة حافظ شهير ، وله أوهام . وقيل : كان لا يحفظ القرآن,"['بغداد', 'الكوفة', 'مكة', 'الري']",156.0,239.0,156 هـ,239 هـ
4317,عثمان بن محمد بن سعيد ، وقد ينسب إلى جده,مقبول,['البصرة'],170.5,235.5,,بين 231 هـ و240 هـ
4318,عثمان بن محمد بن المغيرة بن الأخنس بن شريق,صدوق له أوهام,[],60.5,125.5,,بين 121 هـ و130 هـ
4319,عثمان بن مرة,لا بأس به,[],96.0,161.0,,
4320,"عثمان بن مسلم : وقيل : أسلم , ويقال : عثمان بن مسلم بن جرموز ، ويقال : عثمان بن سليمان بن جرموز",صدوق ، عابوا عليه الإفتاء بالرأي,"['الكوفة', 'البصرة']",78.0,143.0,,143 هـ
4321,"عثمان بن مسلم بن هرمز , ويقال : عثمان بن عبد الله",فيه لين,[],74.0,139.0,,
4322,"عثمان بن مطر ,  ويقال : اسم أبيه عبد الله",ضعيف,['بغداد'],110.5,175.5,,بين 171 هـ و180 هـ
4323,عثمان بن أبي زرعة : المغيرة,ثقة,[],60.5,125.5,,بين 121 هـ و130 هـ
4324,عثمان بن موهب,مقبول,[],70.0,135.0,,
4325,عثمان بن ناجية,مستور,[],117.0,182.0,,
4326,عثمان بن نعيم بن قيس بن حي,مجهول,[],74.0,139.0,,
4327,عثمان بن نهيك,مقبول ، ثقة,['خراسان'],40.5,105.5,,101 هـ : 110 هـ
4328,عثمان بن الهيثم بن جهم بن عيسى بن حسان بن المنذر,ثقة ، تغير فصار يتلقن,['البصرة'],154.0,219.0,,218 هـ ، أو 220 هـ
4329,عثمان بن واقد بن محمد بن زيد بن عبد الله بن عمر بن الخطاب,صدوق ، ربما وهم,['البصرة'],90.5,155.5,,151 هـ : 160 هـ
4330,عثمان بن الوليد ، أو ابن أبي الوليد,مقبول,[],74.0,139.0,,
4331,عثمان بن يحيى,ضعفه الأزدي,[],55.0,120.0,,
4332,عثمان بن يعلى بن مرة,مجهول,[],55.0,120.0,,
4334,عثيم بن كثير بن كليب ، وقد ينسب إلى جده,مجهول,[],74.0,139.0,,
4335,عجلان,لا بأس به,[],55.0,120.0,,
4337,عجلان,لا بأس به,['المدينة'],40.5,105.5,,بين 101 هـ و110 هـ
4338,عجير بن عبد يزيد بن هاشم بن المطلب بن عبد مناف,صحابي,[],-5.583333333333329,59.41666666666667,,
4339,العداء بن خالد بن هوذة بن خالد بن ربيعة بن عمرو بن عامر بن صعصعة بن معاوية بن بكر بن هوازن بن منصور بن عكرمة بن خصفة بن قيس عيلان بن مضر بن نزار ، ويقال : هوذة بن أنف الناقة,صحابي,"['البادية', 'الرخيخ']",36.5,101.5,,101 هـ ، أو 102 هـ
4340,عدي بن ثابت,ثقة رمي بالتشيع,['الكوفة'],50.5,115.5,,115 هـ ، أو 116 هـ
4341,عدي بن حاتم بن عبد الله بن سعد بن الحشرج بن امرئ القيس بن عدي بن أخرم بن أبي أخرم بن ربيعة بن جرول بن ثعل بن عمرو بن الغوث بن طيء بن أدد بن زيد بن يشجب بن عريب بن زيد بن كهلان بن سبأ بن يشجب بن يعرب بن قحطان,صحابي شهير,"['الكوفة', 'قرقيسيا', 'يقال', 'بغداد', 'البصرة', 'العراق']",2.5,67.5,,66 هـ ، او 67 هـ ،  أو 68 هـ ، أو 69 هـ
4342,عدي بن دينار,وثقه النسائى,[],-65.0,0.0,,
4343,عدي بن زيد,صحابي,['المدينة'],-5.583333333333329,59.41666666666667,,
4344,أبو البداح بن عاصم بن عدي بن الجد بن العجلان بن حارثة بن ضبيعة,ثقة,[],26.0,115.33333333333333,26 هـ,110 هـ ، أو 117 هـ ، أو 119 هـ
4345,عدي بن عدي بن عميرة بن فروة بن زرارة بن الأرقم بن النعمان بن عمرو بن وهب بن ربيعة بن الحارث بن ربيعة بن معاوية الأكرمين بن الحارث بن معاوية بن الحارث بن ثور بن مربع بن معاوية بن ثور ، وهو كندة,ثقة فقيه,"['حران', 'الموصل', 'الجزيرة']",55.0,120.0,,120 هـ
4346,عدي بن عميرة,صحابي,"['الكوفة', 'الجزيرة', 'قيل : الرها', 'قيل : الجزيرة', 'مصر']",-25.0,40.0,,40 هـ
4347,عدي بن الفضل,متروك,[],106.0,171.0,,171 هـ
4348,عديسة بنت أهبان بن صيفي,مقبولة,[],39.23809523809524,104.23809523809524,,
4349,عراك بن مالك ، وقال خليفة بن خياط : عراك بن مالك من بني حماس بن مبشر بن غفار بن مليل بن ضمرة بن بكر بن عبد مناة بن علي بن كنانة بن خزيمة,ثقة فاضل,['المدينة'],39.23809523809524,104.23809523809524,,خلافة يزيد بن عبد الملك
4350,عرباض بن سارية,صحابي,"['حمص', 'الشام']",10.0,75.0,,75 هـ
4351,"العرس ابن عميرة ، قيل : عميرة أمه ، واسم أبيه : قيس بن سعيد بن الأرقم بن نعمان بن عمرو بن وهب ،  ووقع في "" معجم ابن قانع "" : العرس بن قيس بن عميرة بن سعيد بن الأرقم",صحابي مقل .,"['الشام', 'الجزيرة', 'الكوفة']",-5.583333333333329,59.41666666666667,,في فتنة ابن الزبير
4352,عرعرة بن البرند بن النعمان بن علجة,صدوق يهم,['البصرة'],127.0,192.0,,192 هـ
4353,عرفجة بن أسعد بن كريب ، وقيل : ابن صفوان ، قال ابن حبان فى الثقات : عرفجة بن أسعد بن كرب بن صفوان بن حباب بن شجرة بن عطارد بن عوف بن كعب بن سعد,صحابي,['البصرة'],-5.583333333333329,59.41666666666667,,
4354,"عرفجة بن عبد الله ، وقال ابن حبان فى "" الثقات "" : وهو الذي روى عنه عطاء بن أبي رباح ، فقال : عرفجة بن عبد الواحد",مقبول,['الكوفة'],39.23809523809524,104.23809523809524,,
4356,عروة,مجهول,[],55.0,120.0,,
4357,عروة بن أذينة : يحيى بن مالك بن أبي سعيد بن الحارث بن عمرو,,[],60.5,125.5,,بين 121 هـ و130 هـ
4358,"عروة بن الجعد , ويقال : ابن أبي الجعد ,  ويقال : ابن عياض",صحابي,"['الكوفة', 'الشام']",0.0,65.0,,61 هـ : 69 هـ
4359,عروة بن الحارث,ثقة,[],70.5,135.5,,بين 131 هـ و 140 هـ
4360,عروة بن رويم,صدوق يرسل كثيرا,"['دمشق', 'سرية من كور غزة', 'الشام', 'البصرة', 'ذي خشب']",69.71428571428572,134.71428571428572,,125 هـ ، أو 131  هـ ، أو 132 هـ ، أو 135 هـ ، أو 136 هـ ، أو 140 هـ ، أو 144 هـ
4361,عروة بن الزبير بن العوام بن خويلد بن أسد بن عبد العزي بن قصي,ثقة فقيه مشهور,"['مصر', 'المدينة', 'مجاج في ناحية الفرع']",26.0,95.625,23 هـ ، أو 29 هـ,91 هـ ، أو 92، أو 93 هـ ، أو 94 هـ ، أو  95 هـ ، أو 99  هـ ، أو 100 هـ ، أو 101 هـ
4362,عروة بن سعيد,,['عبادان'],-65.0,0.0,,
4363,عروة بن عامر,مختلف في صحبته,[],6.25,71.25,,
4364,عروة بن عبد الله بن قشير,ثقة,[],50.5,115.5,,بين 111 هـ  و 120 هـ
4365,عروة بن عياض بن عمرو بن عبد القاري ، وقيل : عروة بن عياض بن عدي بن الخيار بن عدي بن نوفل بن عبد مناف بن قصي ، وقيل : عياض بن عروة,ثقة,['مكة'],40.5,105.5,,101 هـ : 110 هـ
4366,عروة بن محمد بن عطية,مقبول,"['اليمن', 'مكة']",55.0,120.0,,بعد 120 هـ
4367,عروة بن مضرس بن أوس بن حارثة بن لأم بن عمرو بن طريف بن عمرو بن عامر,صحابي,['لكوفة'],-5.583333333333329,59.41666666666667,,
4368,عروة بن المغيرة بن شعبة,ثقة,['الكوفة'],25.0,90.0,,بعد 90 هـ
4369,"عروة بن النزال بن سبرة , ويقال : النزال بن عروة",مقبول,[],20.25,85.25,,
4370,العريان بن الهيثم بن الأسود بن أقيس بن معاوية بن سفيان بن هلال بن عمرو بن جشم بن عوف بن النخع,مقبول,['الكوفة'],40.5,105.5,,بين 101 هـ و110 هـ
4371,عريب بن حميد,ثقة,['الكوفة'],20.5,85.5,,بين 81 هـ و90 هـ
4373,عزرة بن ثابت بن أبي زيد بن أخطب,ثقة,[],90.5,155.5,,بين 151هـ و 160 هـ
4374,عزرة بن عبد الرحمن بن زرارة,ثقة,[],40.5,105.5,,بين 101 هـ  و110 هـ
4375,عسل بن سفيان,ضعيف,[],80.5,145.5,,بين 141 هـ و150 هـ
4376,عصام,صحابي,['المدينة'],-5.583333333333329,59.41666666666667,,
4377,عصام بن خالد,صدوق,[],147.5,212.5,,211 هـ ، أو 214 هـ
4378,عصام بن قدامة,صدوق,[],90.5,155.5,,بين 151 هـ و160 هـ
4379,عصمة بن راشد,مجهول,[],96.0,161.0,,
