rawi_index,name,grade
2263,"سبيع بن خالد , ويقال : خالد بن خالد , ويقال : خالد بن سبيع",مقبول
2264,سبيعة بنت الحارث,لها صحبة
2265,سحيم,مقبول
2266,سخبرة,صحابي
2267,سراج بن مجاعة بن مرارة بن سلمى,لأبيه صحبة ، ويقال له أيضا ، وذكره ابن حبان في ثقات التابعين
2269,سراقة بن مالك بن جعشم بن مالك بن عمرو بن مالك بن تيم بن مدلج بن مرة بن عبد مناة بن كنانة,صحابي مشهور ، من مسلمة الفتح
2270,سرق بن أسد ، وقيل اسمه الحباب بن أسد,صحابي
2271,السري بن إسماعيل,متروك الحديث
2272,السري بن مسكين,مقبول
2273,السري بن يحيى بن إياس بن حرملة بن إياس,ثقة ، أخطأ الأزدي في تضعيفه
2274,السري بن ينعم,صدوق عابد
2275,سريج بن النعمان بن مروان,ثقة يهم قليلا
2276,سريج بن يونس بن إبراهيم,ثقة عابد
2277,سريع بن عبد الله,مقبول
2278,سعاد بن سليمان,صدوق يخطئ ، وكان شيعيا
2279,أبو مراوح ، وقيل : اسمه : سعد,ثقة
2281,"سعد مولى طلحة ,  ويقال : طلحة مولى سعد,  ويقال : سعيد مولى طلحة",مجهول
2282,سعد ، وقيل: سعيد مولى أبي بكر,صحابي
2283,"أبو خالد ,  يقال : اسمه سعيد ، ويقال : هرمز ، ويقال : كثير",مقبول
2284,سعد أبو مجاهد,لا بأس به
2285,"أبو المختار , قيل : سعد",مجهول
2286,سعد بن إبراهيم بن سعد بن إبراهيم بن عبد الرحمن بن عوف,ثقة
2287,سعد بن إبراهيم بن عبد الرحمن بن عوف,وكان ثقة فاضلا عابدا
2289,سعد بن أبي وقاص واسمه مالك بن أهيب ويقال وهيب بن عبد مناف بن زهرة بن كلاب بن مرة بن كعب بن لؤي بن غالب,أحد العشرة ، وأول من رمى بسهم في سبيل الله
2290,سعد بن الأخرم,مختلف في صحبته ، وذكره ابن حبان في الصحابة ، ثم في التابعين
2291,سعد بن إسحاق بن كعب بن عجرة ، وقال أبو نعيم : إسحاق بن سعد بن كعب بن عجرة ، غلط فيه,ثقة
2292,سعد بن الأطول بن عبيد الله بن خالد بن واهب ، ويقال: عبد الله بن خلف ، وقيل : سعد بن الاطول بن عبد الله بن خلف,صحابي
2293,سعد بن أوس,صدوق له أغاليط
2294,سعد بن أوس,ثقة ، لم يصب الأزدي في تضعيفه
2295,سعد بن إياس,ثقة ، مخضرم
2296,سعد بن حفص,ثقة
2297,سعد بن سعيد بن قيس بن عمرو,صدوق سيء الحفظ
2298,سعد بن سعيد بن أبي سعيد,لين الحديث
2299,سعد بن سنان ، ويقال : سنان بن سعد,صدوق له أفراد
2300,سعد بن ضميرة,له صحبة
2301,سعد بن طارق بن أشيم,ثقة
2302,سعد بن طريف,متروك ، ورماه ابن حبان بالوضع ، وكان رافضيا
2303,"أبو غطفان , قيل : سعد بن طريف ، ويقال : ابن مالك",ثقة
2304,"سعد بن عائذ , ويقال : ابن عبد الرحمن",صحابي مشهور
2305,سعد بن عبادة بن دليم بن حارثة بن حزيمة ويقال ابن حارثة بن حرام بن أبي حزيمة ويقال ابن حارثة بن حزيمة بن أبي حزيمة بن ثعلبة بن طريف بن الخزرج بن ساعدة بن كعب بن الخزرج,أحد النقباء وسيد الخزرج ، وأحد الأجواد
2306,سعد بن عبد الحميد بن جعفر بن عبد الله بن الحكم بن رافع بن سنان,صدوق له أغاليط
2307,سعد بن عبد الله ، ويقال: سعيد,لين الحديث
2308,سعد بن عبيد,ثقة
2309,سعد بن عبيدة,ثقة
2310,سعد بن عثمان ، وهو سعد بن الأزرق,مقبول
2311,سعد بن عمار بن سعد,مستور
2312,سعد بن عياض,صدوق ، من الثانية ، وله رواية مرسلة
2313,سعد بن مالك بن سنان بن عبيد بن ثعلبة بن عبيد بن الأبجر : خدرة بن عوف بن الحارث بن الخزرج بن حارثة بن ثعلبة بن عمرو بن عامر,له ولأبيه صحبة
2315,سعد بن معبد,مقبول
2316,سعد بن هشام بن عامر,ثقة
2317,"أبو عثمان , شيخ لسليمان التيمي , قيل : اسمه سعد",مقبول
2318,سعدان بن سالم,صدوق
2319,سعدى بنت عوف بن خارجة بن سنان بن أبي حارثة بن نشبة بن غيط بن مرة,لها صحبة
2320,سيف,لا يعرف
2321,"سعر بن سوادة , ويقال : ابن ديسم",مخضرم ، وقيل : له صحبة
2322,سعيد,مجهول
2324,سعيد بن أبي الحسن : يسار,ثقة
2325,"سعيد بن أبي بردة : عامر بن أبي موسى عبد الله بن قيس , ويقال : عامر بن عبد الله بن قيس",ثقة ثبت ، وروايته عن ابن عمر مرسلة
2326,"سعيد بن أبي خالد : سعد , وقيل : هرمز",صدوق
2327,سعيد بن أبي خيرة,مقبول
2328,سعيد بن أبي راشد ، ويقال : ابن راشد,مقبول
2329,سعيد بن أبي سعيد,مجهول
2330,سعيد بن أبي سعيد : كيسان,ثقة ، تغير قبل موته بأربع سنين ، وروايته عن عائشة وأم سلمة مرسلة
2332,سعيد بن أبي عروبة : مهران,ثقة حافظ ، له تصانيف ؛ لكنه كثير التدليس واختلط ، وكان من أثبت الناس في قتادة
2333,سعيد بن أبي كرب,وثقه أبو زرعة
2334,سعيد بن الحكم بن محمد بن سالم,ثقة ثبت فقيه
2335,سعيد بن أبي هلال,صدوق
2336,سعيد بن أبي هند,ثقة
2337,سعيد بن أبيض بن حمال,مقبول
2338,سعيد بن أوس بن ثابت بن بشير بن أبي زيد ، وقيل : ابن ثابت بن زيد بن قيس بن زيد بن النعمان بن مالك بن ثعلبة بن كعب بن الخزرج,صدوق له أوهام ، ورمي بالقدر
2339,سعيد بن إياس,ثقة ، اختلط قبل موته بثلاث سنين
2340,سعدان بن بشر ، ويقال : ابن بشير ، ويقال : اسمه سعيد,صدوق
2341,سعيد بن بشير,مجهول
2342,سعيد بن بشير,ضعيف
2343,سعيد بن جبير بن هشام,ثقة ثبت فقيه ، وروايته عن عائشة وأبي موسى ونحوهما مرسلة
2344,سعيد بن جمهان,صدوق له أفراد
2345,سعيد بن الحارث بن أبي سعيد بن المعلى ، ويقال : ابن أبي المعلى,ثقة
2346,سعيد بن حريث بن عمرو بن عثمان بن عبد الله بن عمر بن مخزوم,له صحبة
2347,سعيد بن حسان,صدوق له أوهام
2348,سعيد بن حسان,مقبول
2349,سعيد بن حفص بن عمر ، ويقال : عمرو بن نفيل,صدوق ، تغير في آخر عمره
2350,سعيد بن حكيم بن معاوية بن حيدة,صدوق
2351,سعيد بن الحويرث ، ويقال : ابن أبي الحويرث,ثقة
2352,سعيد بن حيان,وثقه العجلي
2353,سعيد بن خالد,ضعيف
2354,سعيد بن خالد بن أبي طويل,منكر الحديث
2355,سعيد بن خالد بن عبد الله بن قارظ ، وقد ينسب إلى جده,صدوق
2356,سعيد بن خالد بن عمرو بن عثمان بن عفان,ثقة
2357,سعيد بن خثيم بن رشد,صدوق ، رمي بالتشيع ، له أغاليط
2358,سعيد بن داود بن سعيد بن أبي زنبر,صدوق ، له مناكير عن مالك ، ويقال : اختلط عليه بعض حديثه ، وكذبه عبد الله بن نافع في دعواه أنه سمع من لفظ مالك
2359,سعيد بن ذؤيب,وثقه النسائي
2360,سعيد بن الربيع,ثقة
2361,سعيد بن زربى,منكر الحديث
2362,سعيد بن زرعة,مستور
2363,سعيد بن زكريا,صدوق ، لم يكن بالحافظ
2364,سعيد بن زياد,مقبول
2365,سعيد بن زياد,مجهول
2366,سعيد بن زياد,مقبول
2367,سعيد بن زيد بن درهم,صدوق له أوهام
2368,سعيد بن زيد بن عقبة,ثقة
2369,سعيد بن زيد بن عمرو بن نفيل,أحد العشرة
2370,سعيد بن السائب بن يسار ، ابن أبي حفص,ثقة عابد
2371,سعيد بن سالم,صدوق يهم ، ورمي بالإرجاء ، وكان فقيها
2373,سعيد بن سعد بن عبادة,صحابي صغير
2374,سعيد بن سفيان,صدوق يخطئ
2375,سعيد بن سفيان,مقبول
2376,سعيد بن سلمان ، ويقال: ابن سليمان,مقبول
2377,سعيد بن سلمة,وثقه النسائي
2378,سعيد بن سلمة بن أبي الحسام,صدوق صحيح الكتاب ، يخطئ من حفظه
2379,سعيد بن سليمان ، وقال ابن حبان : سعيد بن سليمان بن كنانة,ثقة حافظ
2380,سعيد بن سمعان,ثقة ، لم يصب الأزدي في تضعيفه
2381,سعيد بن سنان ، الأصغر,صدوق له أوهام
2382,سعيد بن سنان,متروك
2383,سعيد بن شبيب,صدوق
2384,سعيد بن شرحبيل,صدوق
2385,سعيد بن العاص بن أبي أحيحة : سعيد بن العاص بن أمية,وذكر في الصحابة
2386,سعيد بن عامر,ثقة صالح
2387,سعيد بن عامر,مجهول
2389,سعيد بن عبد الجبار بن يزيد,صدوق
2390,سعيد بن عبد الرحمن,ثقة
2391,سعيد بن عبد الرحمن بن عبد الله بن جميل بن عامر بن حذيم بن سلامان بن ربيعة بن سعد بن جمح,صدوق له أوهام ، وأفرط ابن حبان في تضعيفه
2392,سعيد بن عبد الرحمن بن عبد الله,مقبول
2393,سعيد بن عبد الرحمن بن أبي سعيد,مقبول
2395,سعيد بن عبد الرحمن بن أبزى,ثقة
2396,سعيد بن عبد الرحمن بن حسان ، ويقال : ابن عبد الرحمن بن أبي سعيد,ثقة
2397,سعيد بن عبد الرحمن بن مكمل,مقبول
2398,سعيد بن عبد الرحمن بن يزيد بن رقيش بن رئاب بن يعمر بن صبرة بن مرة بن كبير بن غنم بن دودان بن أسد بن خزيمة,ثقة
2399,سعيد بن عبد الرحمن بن أبي العمياء,مقبول
2400,سعيد بن عبد العزيز بن أبي يحيى,ثقة إمام ، سواه أحمد بالأوزاعي ، وقدمه أبو مسهر ، لكنه اختلط في آخر أمره
2401,سعيد بن عبد الله,مقبول
2402,سعيد ابن مرجانة ، وهو ابن عبد الله,ثقة فاضل
2403,سعيد بن عبد الله بن جريج,صدوق ربما وهم
2404,سعيد بن عبيد,مجهول
2405,سعيد بن عبيد,ثقة
2406,سعيد بن عبيد,لا بأس به
2407,سعيد بن عبيد بن السباق,ثقة
2408,سعيد بن عبيد الله بن جبير بن حية,صدوق ربما وهم
2409,سعيد بن عثمان,مقبول
2410,سعيد بن عطية,مقبول
2411,سعيد بن علاقة,ثقة
2412,سعيد بن عمارة بن صفوان بن عمرو بن أبي كريب بن حي بن دلج بن مرثد بن هانئ بن ذي جدن,ضعيف
2413,سعيد بن عمرو,مقبول
2414,أبو كبشة ، قيل : اسمه سعد بن عمرو ، وقيل : عمرو بن سعد ، وقيل : عمر بن سعد ، وقيل : عامر بن سعد,صحابي
2415,سعيد بن عمرو بن أشوع ، وربما ينسب إلى جده,ثقة ، رمي بالتشيع
2417,سعيد بن عمرو بن سعيد بن العاص بن سعيد بن العاص بن أمية,ثقة
2418,سعيد بن عمرو بن سليم ، وقال البخاري : قيل اسمه سعد,
2419,سعيد بن عمرو بن سهل بن إسحاق بن محمد بن الأشعث بن قيس,ثقة
2420,سعيد بن عمرو بن شرحبيل بن سعيد بن سعد بن عبادة,ثقة
2421,سعيد بن عيسى بن تليد ، وقد ينسب إلى جده,ثقة فقيه
2422,سعيد بن غزوان,مستور
2424,سعيد بن فيروز ، ابن أبي عمران,ثقة ثبت، فيه تشيع قليل، كثير الإرسال
2425,سعيد بن كثير بن عفير بن مسلم بن يزيد بن الأسود ، وقد ينسب إلى جده,صدوق ، عالم بالأنساب وغيرها
2426,سعيد بن كثير بن المطلب بن أبي وداعة,مقبول
2427,سعيد بن محمد,ضعيف
2428,سعيد بن محمد بن جبير بن مطعم,مقبول
2429,سعيد بن محمد بن سعيد,صدوق، رمي بالتشيع
2430,سعيد بن المرزبان,ضعيف مدلس
2431,سعيد بن مروان بن علي,صدوق
2432,سعيد بن مزاحم بن أبي مزاحم,مقبول
2433,سعيد بن مسروق,ثقة
2434,سعيد بن مسلم بن بانك,ثقة
2435,سعيد بن مسلمة بن هشام بن عبد الملك بن مروان بن الحكم ، ويقال : مسلمة بن أمية بن هشام,ضعيف
2436,سعيد بن المسيب بن حزن بن أبي وهب بن عمرو بن عائذ بن عمران بن مخزوم,أحد العلماء الأثبات الفقهاء الكبار
2437,سعيد بن المغيرة,ثقة
2438,سعيد بن أبي أيوب : مقلاص,ثقة ثبت
2439,سعيد بن منصور بن شعبة,ثقة مصنف
2440,سعيد بن المهاجر ، ويقال : ابن أبي المهاجر,مجهول
2441,سعيد بن ميمون,مجهول
2442,سعيد بن مينا,ثقة
2443,سعيد بن نصير,صدوق
2444,سعيد بن النضر,ثقة
2445,سعيد بن هانئ,ثقة
2446,سعيد بن وهب,ثقة
2447,سعيد بن يحمد ، ويقال : أحمد ، ويقال : عمرو,ثقة
2448,"سعيد بن يحيى بن الأزهر بن نجيح , وقد ينسب إلى جده",ثقة
2449,سعيد بن يحيى بن سعيد بن أبان بن سعيد بن العاص بن أمية,ثقة ، ربما أخطأ
2450,سعيد بن يحيى بن صالح,صدوق وسط
2451,سعيد بن يحيى بن مهدي بن عبد الرحمن بن عبد كلال,صدوق وسط
2452,سعيد بن يربوع بن عنكثة بن عامر بن مخزوم,صحابي
2453,سعيد بن يزيد,قال أبو حاتم : شيخ لم يرو عنه غير قتادة
2454,سعيد بن يزيد,ثقة عابد
2455,سعيد بن يزيد,صدوق
2456,سعيد بن يزيد بن مسلمة,ثقة
2457,سعيد بن يسار ، والصحيح أنه غير سعيد بن مرجانة,ثقة متقن
2458,سعيد بن يعقوب,ثقة ، صاحب حديث
2459,أبو عثمان : سعيد ، وقيل : عمران,مقبول
2460,سعيد ، عن حصين بن وحوح,مجهول
2461,سعير بن الخمس,صدوق
2462,السفر بن نسير,ضعيف
2463,سفيان بن أبي العوجاء,ضعيف
2464,سفيان بن أبي زهير : القرد,صحابي
2465,سفيان بن أسيد ، ويقال : ابن أسد,صحابي
2466,سفيان بن حبيب,ثقة
2467,سفيان بن حسين بن الحسن,ثقة في غير الزهري باتفاقهم
2468,سفيان بن حمزة بن سفيان بن فروة,صدوق
2469,سفيان بن دينار ، غير سفيان العصفري,ثقة
2470,سفيان بن زياد ، ويقال : ابن دينار,ثقة
2471,سفيان بن زياد بن آدم,صدوق
2472,سفيان بن سعيد بن مسروق,"ثقة حافظ , فقيه عابد ، إمام حجة"
2473,سفيان بن عبد الرحمن بن عاصم بن سفيان بن عبد الله ، وقيل : ابن عبد الله,مقبول
2474,أبو طلحة ، قال ابن حبان : اسمه سفيان بن عبد الله ، وقال غيره : درع بن عبد الله,مقبول
2475,سفيان بن عبد الله بن ربيعة بن الحارث ، ويقال : سفيان بن عبد الله بن حطيط,صحابي
2476,سفيان بن عبد الملك,ثقة
2477,سفيان بن عقبة,صدوق
2478,سفيان بن عيينة بن أبي عمران : ميمون,"ثقة حافظ فقيه , إمام حجة إلا أنه تغير حفظه بأخرة , وكان ربما دلس لكن عن الثقات"
2479,"أبو المختار , قيل اسمه : سفيان بن المختار ، وقيل : سفيان بن أبي حبيبة ، وقيل : عبد الله بن أبى حبيبة",مقبول
2480,سفيان بن موسى,صدوق
2481,سفيان بن هانئ بن جبر بن عمرو بن سعد بن ذاخر,يقال : له صحبة
2482,سفيان بن وكيع بن الجراح,كان صدوقا ، إلا أنه ابتلي بوراقه فأدخل عليه ما ليس من حديثه فنصح فلم يقبل فسقط حديثه
2483,سفينة ، يقال : اسمه مهران بن فروخ ، ويقال : نجران ، ويقال : رومان ، ويقال : رباح ، ويقال : قيس ، ويقال : شنبة بن مارفنة,صحابي
2484,السكن بن المغيرة ، وقال ابن حبان : ابن أبي المغيرة,صدوق
2485,سلام بن أبي سلام : ممطور,مجهول
2486,سلام بن أبي عمرة,ضعيف
2487,سلام بن أبي مطيع : سعد,"ثقة , صاحب سنة , في روايته عن قتادة ضعف"
2488,سلام بن سلم ، ويقال : ابن سليم ، ويقال : ابن سليمان ، والصواب : ابن سلم,متروك
2489,سلام بن سليم,"ثقة , متقن , صاحب حديث"
2490,سلام بن سليمان,صدوق يهم
2491,سلام بن سليمان بن سوار ، وقد ينسب إلى جده,ضعيف
2492,سلام بن شرحبيل,مقبول
2493,سلام بن مسكين بن ربيعة ، قال أبو داود : اسمه سليمان,ثقة ، رمي بالقدر
2494,سلامة بن روح بن خالد بن عقيل بن خالد,"صدوق له أوهام , وقيل : لم يسمع من عمه , وإنما يحدث من كتبه"
2495,سلامة بنت الحر,صحابية  لها حديث
2496,سلامة بنت معقل,صحابية ، لها حديث
2497,سلم بن إبراهيم,ضعيف
2498,سلم بن أبي الذيال: عجلان,"ثقة , قليل الحديث"
2499,سلم بن جعفر,صدوق ، تكلم فيه الأزدي بغير حجة
2500,سلم بن جنادة بن سلم بن خالد بن جابر بن سمرة,ثقة ربما خالف
2501,سلم بن زرير,وثقه أبو حاتم ، وقال النسائي : ليس بالقوي
2502,سلم بن عبد الرحمن,صدوق
2503,سلم بن عطية,لين الحديث
2504,سلم بن قتيبة,صدوق
2505,سلم بن قيس ، وليس من ولد علي بن أبي طالب,ضعيف
2506,سلمان,صحابي
2507,سلمان بن ربيعة بن يزيد بن عمرو بن سهم بن ثعلبة بن غنم بن قتيبة بن معن، ويقال: ابن ثعلبة بن وائل بن معن بن مالك بن أعصر وهو منبه ابن سعد بن قيس عيلان بن مضر بن نزار بن معد بن عدنان,يقال : له صحبة
2508,سلمان بن عامر بن أوس بن حجر بن عمرو بن الحارث بن تيم بن ذهل بن مالك بن سعد بن بكر بن ضبة,صحابي
2509,سلمان,صدوق
2510,سلمان,ثقة
2511,سلمان,ثقة
2512,سلمة,صحابي
2513,سلمة,لين الحديث
2514,سلمة ، عن جابر بن عبد الله,مقبول
2515,سلمة بن أحمد بن سليم بن عثمان,صدوق
2516,سلمة بن الأزرق,مقبول
2517,سلمة بن أمية,صحابي
2518,سلمة بن بشر بن صيفي ، وربما نسب إلى جده,مقبول
2519,سلمة بن تمام,صدوق
2521,سلمة بن دينار,ثقة عابد
2522,سلمة بن رجاء,صدوق يغرب
2523,سلمة بن روح بن زنباع,مجهول
2524,سلمة بن سعيد بن عطية ، ويقال : ابن عطاء,صدوق
2525,سلمة بن سليمان,ثقة حافظ
2526,سلمة بن شبيب,ثقة
2527,سلمة بن صخر بن سلمان بن الصمة بن حارثة بن الحارث بن زيد مناة بن حبيب بن عبد حارثة بن مالك بن غضب بن جشم بن الخزرج ، ويقال : سلمان بن صخر ، وسلمة أصح,صحابي
2528,سلمة بن صفوان بن سلمة,ثقة
2529,سلمة بن صهيب ، ويقال : ابن صهيبة ، ويقال : ابن صهبة ، ويقال : ابن صهبان ، ويقال : ابن أصيهب,ثقة
2530,سلمة بن عبد الله ، ويقال : ابن عبيد الله بن محصن,مجهول
2531,سلمة بن عبد الله بن عمر بن أبي سلمة بن عبد الأسد ، وربما نسب إلى جد أبيه ، وإلى جده,مقبول
2532,سلمة بن عبد الملك,صدوق يخالف
2533,سلمة بن علقمة,ثقة
2534,سلمة بن عمرو بن الأكوع ، ويقال : سلمة بن وهيب بن الأكوع ، واسمه سنان بن عبد الله بن قشير ، وقال ابن بشير : ويقال : ابن قيس بن يقظة بن خزيمة بن مالك بن سلامان بن أسلم بن أفصى بن حارثة بن عمرو بن عامر,شهد بيعة الرضوان
2536,سلمة بن الفضل,"صدوق , كثير الخطأ"
2537,سلمة بن قيس,صحابي
2538,سلمة بن قيس ، وقيل : ابن نفيع ، وقيل : ابن لائم ، وقيل : ابن لائي بن قدامة,"صحابي , له وفادة"
2539,سلمة بن كلثوم,صدوق
2540,سلمة بن كهيل بن حصين,ثقة
2541,سلمة بن المحبق ، وقيل : سلمة بن ربيعة بن المحبق : صخر بن عبيد ، وقيل : عبيد بن صخر ، وقيل غير ذلك,صحابي
2542,سلمة بن محمد بن عمار بن ياسر,مجهول
2543,أبو ليلى قيل هو سلمة بن معاوية ، وقيل : معاوية بن سلمة ، وقيل : سعيد بن أشرف بن سنان ، وقيل : المعلي,ثقة
2544,سلمة بن نبيط بن شريط بن أنس,"ثقة , يقال : اختلط"
2545,سلمة بن نعيم بن مسعود,له ولأبيه صحبة
2546,سلمة بن نفيل,له صحبة
2547,سلمة بن وردان,ضعيف
2548,سلمة بن وهرام,صدوق
2549,سلمة بن يزيد ، ويقال : يزيد بن سلمة,صحابي
2550,سلمى,لا تعرف
2551,أبو بكر ، قيل اسمه : سلمى بن عبد الله بن سلمى ، وقيل : روح,أخباري ، متروك الحديث
2552,أم المنذر بنت قيس بن عمرو بن عبيد بن عامر بن غنم بن عدي بن النجار ، يقال : اسمها سلمى,لها صحبة
2553,سلمى,مقبولة
2554,سلمى,
2555,سليمان بن كيسان  وقيل محمد بن عبد الرحمن  وقيل محمد بن القاسم,مقبول
2556,سليط بن أيوب بن الحكم,مقبول
2557,سليط بن عبد الله,مجهول
2559,أبو ميمونة ، قيل : سليم ، وقيل : سلمان ، وقيل : سلمى ، وقيل : أسامة,ثقة
2560,سليم بن أخضر,"ثقة , ضابط"
2561,سليم بن أسود بن حنظلة,ثقة باتفاق
2562,سليم بن جبير ، ويقال : ابن جبيرة,ثقة
2563,سليم بن حيان بن بسطام,ثقة
2564,سليم بن عامر,ثقة
2565,"أبو عمران , قيل اسمة : سليمان ، وقيل : سليم بن عبد الله",صدوق
2566,سليم بن مطير,لين الحديث
2567,سليمان,مجهول
2568,سليمان الأسود,صدوق
2569,سليمان ، يقال ابن عبد الله,مجهول
2570,سليمان بن أبي المغيرة,صدوق
2571,سليمان بن أبي سليمان : فيروز ، ويقال : خاقان ، ويقال : عمرو,ثقة
2572,سليمان بن أبي سليمان,مقبول
2573,سليمان بن أبي عبد الله,مقبول
2574,سليمان بن أبي مسلم : عبد الله,ثقة ثقة ـ قاله أحمد
2575,سليمان بن أبي يحيى,ليس به بأس
2576,سليمان بن أرقم,ضعيف
2577,سليمان بن الأشعث بن إسحاق بن بشير بن شداد بن عمرو بن عمران ، وقيل : سليمان بن الأشعث بن بشر بن شداد ، وقيل : سليمان بن الأشعث بن  شداد بن عمرو بن عامر,"ثقة ، حافظ , مصنف السنن وغيرها ، من كبار العلماء"
2579,سليمان بن بابيه,مقبول
2580,سليمان بن بريدة بن الحصيب,ثقة
2581,سليمان بن بلال,ثقة
2582,سليمان ويقال سلمان بن توبة,صدوق
2583,سليمان بن جابر,مجهول
2584,سليمان بن جنادة بن أبي أمية,منكر الحديث
2585,سليمان بن الجهم بن أبي الجهم,ثقة
2586,سليمان بن حبيب,ثقة
2587,سليمان بن حرب بن بجيل,ثقة إمام حافظ
2588,سليمان بن حيان,صدوق يخطئ
2589,سليمان بن خربوذ,مجهول
2590,سليمان بن داود ، ويقال: سليمان بن محمد بن سليمان,صدوق
2591,سليمان بن داود,"ثقة , لم يتكلم فيه أحد بحجة"
2592,سليمان بن داود ، و يقال: سليمان بن أرقم,صدوق
2593,أبو ثور وقيل: حبيب بن أبي مليكة,مقبول
2594,سليمان بن داود بن الجارود,"ثقة حافظ , غلط في أحاديث"
2595,سليمان بن داود بن حماد بن سعد,ثقة
2596,سليمان بن داود بن داود بن علي بن عبد الله بن عباس بن عبد المطلب,"ثقة , جليل"
2597,سليمان بن داود بن رشيد,ثقة
2598,سليمان بن داود بن مسلم ، وربما نسب إلى جده,مجهول
2599,سليمان بن زياد,ثقة
2600,سليمان بن سحيم,صدوق
2601,سليمان بن سفيان,ضعيف
2602,سليمان بن سلم بن سابق,ثقة
2603,سليمان بن سليم,ثقة عابد
2604,سليمان بن سمرة بن جندب,مقبول
2605,سليمان بن سنان,ثقة
2606,سليمان بن سيف بن يحيى بن درهم,ثقة ، حافظ
2607,سليمان بن صالح ، ويقال اسمه سليمان بن داود,ثقة
2608,"سليمان بن صرد بن الجون بن أبي الجون بن منقذ بن ربيعة بن أصرم بن حرام بن حبشية بن سلول بن كعب بن عمرو بن ربيعة , وهو : لحي بن حارثة بن عمرو بن عامر بن حارثة بن ثعلبة بن امرئ القيس بن ثعلبة بن مازن بن الأزد",صحابي
2609,سليمان بن طرخان,ثقة عابد
2611,سليمان بن عبد الجبار بن زريق,صدوق
2612,سليمان بن عبد الحميد بن رافع ، ويقال: ابن سليمان,صدوق
2613,سليمان بن عبد الرحمن بن عيسى بن ميمون,صدوق يخطئ
2615,سليمان بن عبد الرحمن بن حماد بن عمران بن موسى بن طلحة بن عبيد الله,صدوق
2616,"سليمان بن عبد الرحمن بن عيسى , ويقال : سليمان بن يسار بن عبد الرحمن  ، ويقال : سليمان بن أنس بن عبد الرحمن",ثقة
2618,سليمان بن عبد الله بن الزبرقان ، ويقال : سليمان بن عبد الرحمن بن فيروز,لين الحديث
2619,سليمان بن عبيد الله,"صدوق , ليس بالقوي"
2620,سليمان بن عبيد الله بن عمرو بن جابر,صدوق
2621,سليمان بن عتبة بن ثور بن يزيد بن الأخنس,"صدوق , له غرائب"
2622,سليمان بن عتيق ،  ويقال عتيك وهو وهم,صدوق
2623,سليمان بن عطاء بن قيس,منكر الحديث
2624,سليمان بن علي,ثقة
2625,سليمان بن علي بن عبد الله بن عباس بن عبد المطلب,مقبول
2626,سليمان بن عمرو بن الأحوص,مقبول
2627,سليمان بن عمرو بن عبد ، ويقال : عبيد,ثقة
2628,سليمان بن قرم بن معاذ ،وقد ينسب إلى جده,سيء الحفظ
2629,سليمان بن قيس,ثقة
2630,سليمان بن كثير,لا بأس به في غير الزهري
2631,سليمان بن كنانة,مجهول الحال
2634,سليمان بن مسهر,ثقة
2635,سليمان بن معبد بن كوسجان,"ثقة , صاحب حديث"
2636,سليمان بن المغيرة,ثقة ثقة ـ قاله يحيى بن معين
2637,سليمان بن منصور,لا بأس به
2638,سليمان بن مهران,"ثقة حافظ , عارف بالقراءات ورع  لكنه يدلس"
2639,سليمان بن موسى,فيه لين
2640,سليمان بن موسى,"صدوق , فقيه , في حديثه بعض لين , وخولط قبل موته بقليل"
2641,سليمان بن يزيد بن قنفذ,ضعيف
2642,سليمان بن يسار,"ثقة فاضل , أحد الفقهاء السبعة"
2643,سليمان بن يسير ، ويقال : ابن أسير ، ويقال : ابن قسيم,ضعيف
2644,سماك بن حرب بن أوس بن خالد بن نزار بن معاوية بن حارثة بن ربيعة بن عامر بن ذهل بن ثعلبة,"صدوق , وروايته عن عكرمة خاصة مضطربة , وقد تغير بأخرة ، فكان ربما يلقن"
2645,مالك بن عبد الله بن سنان بن سرح بن وهب بن الأقيصر بن مالك بن قحافة بن عامر بن ربيعة بن عامر بن سعد بن مالك,
2646,سماك بن عطية,ثقة
2647,سماك بن الفضل,ثقة
2648,سماك بن الوليد ، وقيل : سماك بن يزيد,ليس به بأس
2649,سمرة بن جنادة,له ولابنه صحبة
2650,"ابن مسعدة , قيل اسمه : عبد الله",صحابي
2651,سمرة بن جندب بن هلال بن حديج بن مرة بن حزم بن عمرو بن جابر بن ذي الرياستين,صحابي مشهور
2652,سمرة بن سهم,مجهول
2653,سمعان,لا بأس به
2654,سمعان بن مشنج ، ويقال : ابن مشمرج,صدوق
2655,سمي بن قيس,مجهول
2656,سمي,ثقة
2657,سمية,مقبولة
2659,سميط بن عمير ، ويقال : ابن سمير,صدوق
2660,سنان بن أبي سنان : يزيد بن أبي أمية ، ويقال : ربيعة,ثقة
2661,سنان بن ربيعة,صدوق فيه لين
2662,سنان بن سلمة بن المحبق,له رؤية
2663,سنان بن سنة,صحابي
2664,سنان بن قيس ، وقيل : سيار,مقبول
2665,سنان بن هارون,صدوق فيه لين
2666,سنيد بن داود ، اسمه :  الحسين,ضعف مع إمامته ومعرفته ؛ لكونه كان يلقن حجاج بن محمد شيخه
2667,سنين ، يقال : اسم أبيه فرقد,صحابي صغير
2668,سهل بن أبي أمامة : أسعد بن سهل بن حنيف,ثقة
2669,سهل بن أبي حثمة : عبد الله ، وقيل : عامر بن ساعدة بن عامر بن عدي بن جشم بن مجدعة بن حارثة بن الحارث بن الخزرج,صحابي صغير
