rawi_index,name,shuhrah,laqab,kunyah,nasab,place_iqama,selat_karaba,aqeedah,date_birth,date_death,place_birth,place_death,place_travel,date_travel,tabaqah,grade_ibn_hajar,grade_thahabi
3872,عبد الله بن مالك بن أبي الأسحم  بن عثمان بن حبال بن نمران بن الحارث بن جيشان بن مالك بن حجر بن ذي رعين,أبو تميم,,أبو تميم,"اليمنى الأصل ، الجيشاني , الرعيني , المصري",مصر,أخو سيف بن مالك بن أبي الأسحم,,في حياة النبي صلى الله عليه وسلم,77 هـ ، أو 78 هـ,,,المدينة,,الثانية,ثقة ، مخضرم,كان من العابدين
3873,عبد الله بن مالك بن حذافة,,,,الحجازي,مصر,أمه العالية بنت سبيع ، وابنه معقل بن عبد الله بن مالك,,,,,,,,الرابعة,مقبول,
3874,عبد الله بن مالك بن سعد بن القشب : جندب بن نضلة بن عبد الله بن رافع بن محصن بن مبشر بن صعب بن دهمان بن نصر بن زهران بن كعب بن الحارث بن كعب بن عبد الله بن نصر بن الأزد,ابن بحينة,,أبو محمد,الأزدي ، ويقال : الأسدي ، المطلبي حليفهم ، النوفلي حليفهم,ينزل ببطن ريم على ثلاثين ميلا من المدينة,"حليف بني المطلب , وحليف لبني نوفل ، وأخوه لأبيه وأمه جبير ، وابنه علي بن عبد الله بن مالك بن بحينة ، وأمه بحينة بنت الحارث بن عبد المطلب ، وقيل : بحينة أم أبيه ، قال أبو عمر : والأول - يعني أنها أمه - أصح",,,56 هـ ، وقيل : مع عائشة تقريبا ، وقيل في آخر ولاية وعاوية ، وقيل : في ولاية يزيد بن معاوية,,اليمامة ، أو ببطن ريم على ثلاثين ميلا من المدينة,,,صحابي,صحابي معروف,
3875,عبد الله بن المبارك بن واضح,,,أبو عبد الرحمن,"الحنظلي مولاهم , التميمي مولاهم , المروزي",خراسان ، الكوفة,مولى بني حنظلة ،  ومولى لعبد شمس من تميم,,118 هـ ، أو 119 هـ,181 هـ ،أو 182 هـ,,هيت ، مات في السفينة في الفرات وأخرج منها فدفن بهيت,خرج عبد الله إلى العراق ، بغداد ، اليمن ، الشام ، البصرة ، الكوفة,141 هـ,الثامنة,ثقة ثبت ، فقيه عالم ، جواد مجاهد ، جمعت فيه خصال الخير,شيخ خرسان
3876,عبد الله بن المثنى بن عبد الله بن أنس بن مالك,,,أبو المثنى,الأنصاري ، البصري,,والد محمد بن عبد الله الأنصاري القاضي ، وابن ابنه سلمة بن المثنى بن عبد الله بن المثنى ، وعمه ثمامة بن عبد الله بن أنس ، وموسى بن أنس بن مالك عم أبيه ، والنضر بن أنس بن مالك عم أبيه,,,171 هـ : 180 هـ,,,,,السادسة,صدوق كثير الغلط,قال أبو حاتم : صالح . وقال أبو داود : لا أخرج حديثه .
3877,عبد الله بن محرر,,,,العامري ، الجزري ، الحراني ، القاضي ، ويقال : الرقي ، الخزاعي ، المكي ، العقيلي مولاهم,الجزيرة ، الرقة,مولى بني عقيل ، ولاه أبو جعفر قضاء الرقة,,,150 هـ : 160 هـ,,,,,السابعة,متروك,قال البخاري : منكر الحديث
3878,عبد الله ، ويقال : عبيد الله بن محصن,,,أبو سلمة,الأنصاري ، الخطمي,,والد : سلمة بن عبد الله,,,,,,,,مختلف في صحبته,مختلف في صحبته,اختلف في صحبته
3879,عبد الله بن محمد,,,,الليثي,,,,,,,,,,السابعة,مجهول,لا يعرف
3880,"عبد الله بن محمد , ويقال : ابن عمر",ابن الرومي,,أبو محمد,اليمامي ، الرومي ، الخراساني الاصل,بغداد,والد : عمر بن عبد الله,,,235 هـ ، أو 236 هـ,,,,,العاشرة,صدوق,ثقة
3881,عبد الله بن محمد,,,أبو الحباب,"العدوي , التميمي",,,,,,,,,,السابعة,متروك,واه
3882,"أبو حذيفة , ويقال اسمه : عبد الله بن محمد",,,أبو حذيفة,,,,,,,,,,,,,مجهول
3883,عبد الله بن أبي عتيق : محمد بن عبد الرحمن بن أبي بكر الصديق,ابن أبي عتيق,,أبو بكر,القرشي ، التيمي ، المدني,,أمه رميثة بنت الحارث بن حذيفة بن مالك بن ربيعة من بني فراس بن غنم بن مالك بن كنانة ، وعمة أبيه عائشة أم المؤمنين ، وأولاده : محمد وأبو بكر ، وعثمان ، وعبد الرحمن ، وعمر ، وعاتكة ، وعائشة ، وزينب ، وأم كلثوم ، وآمنة,,,101 هـ : 110 هـ,,,,,الثالثة,صدوق فيه مزاح,ثقة
3884,عبد الله بن محمد بن أبي يحيى : سمعان  ، وقد ينسب إلى جده,سحبل,سحبل,أبو محمد,"الأسلمي مولاهم , المدني",,الأسلمي مولاهم ، وعمه أنيس بن أبي يحيى الأسلمي ، وأخو إبراهيم  ، وأخو أنيس ومحمد بن أبي يحيى,,,172 هـ ، أو 174 هـ ، وقيل : 152 هـ ، وقيل : 162 هـ,,"المدينة , بغداد",,,السابعة,ثقة,وثقه ابن معين
3885,"عبد الله بن محمد بن أبي الأسود : حميد بن الأسود , وقد ينسب إلى جده",,الحافظ,أبو بكر,"البصري , الحافظ ، القاضي",همذان,ابن أخت عبد الرحمن ابن مهدي,,,223 هـ,,بغداد,,,العاشرة,ثقة حافظ ، سماعه من أبي عوانة وهو صغير,الحافظ
3886,عبد الله بن محمد بن إسحاق,,,أبو عبد الرحمن,الجزري ، الأذرمي ، الموصلي,,,,,241 هـ : 250 هـ,,,,,العاشرة,ثقة,قال أبو حاتم : ثقة
3887,عبد الله بن محمد بن أسماء بن عبيد بن مخارق ، ويقال : ابن مخراق,,,أبو عبد الرحمن,"الضبعي , البصري",البصرة,عمه جويرية بن أسماء,,,231 هـ,,البصرة,,,العاشرة,ثقة جليل,قال أحمد الدورقي : لم أر بالبصرة أفضل منه
3888,عبد الله بن محمد بن أبي بكر الصديق,,,,"التيمي , القرشي، المدني",,أخو القاسم بن محمد ، وعمته عائشة زوج النبي صلى الله عليه وسلم ، وأمه اسمها سودة,,,63 هـ,,الحرة,,,الثالثة,ثقة,
3889,عبد الله بن محمد بن أبي شيبة : إبراهيم بن عثمان بن خواستي,,الحافظ,أبو بكر,"الواسطي الأصل , الكوفي , العبسي مولاهم , الحافظ",,العبسي مولاهم ، وابنه أبو شيبة إبراهيم بن أبي بكر بن أبي شيبة,,159 هـ,235 هـ ، أو 234 هـ,,الكوفة,,,العاشرة,ثقة حافظ ، صاحب تصانيف,قال الفلاس : ما رأيت أحفظ منه . وقال صالح جزرة : هو أحفظ من أدركنا عند المناظرة
3890,عبد الله بن محمد بن تميم بن أبي عمر,,,أبو حميد,المصيصي ، الهاشمي مولاهم,,مولى بني هاشم,,,261 هـ : 270 هـ,,,,,الحادية عشرة,ثقة,ثقة
3891,"عبد الله بن محمد بن الحجاج بن أبي عثمان : سالم , وقد ينسب إلى جده",,,أبو يحيى,"الصواف , البصري",,ختن معاذ بن هشام,,,255 هـ,,,,,الحادية عشرة,صدوق,
3892,عبد الله بن محمد بن رمح بن المهاجر بن محرز بن سالم,,,"أبو سعيد , ويقال : أبو معبد ، ويقال : أبو سيف","التجيبي مولاهم , المصري",,مولى بني أبزى بن عدي بن تجيب,,,255 هـ ، وقيل : 250 هـ,,,,,الحادية عشرة,صدوق,
3893,عبد الله بن محمد بن الربيع ، وقد ينسب إلى جده,,,أبو عبد الرحمن,العائذي ، الكرماني ، الكوفي الأصل ، الخراساني,نزيل المصيصة,,,,221 هـ : 230 هـ,,,وقع إلى المصيصة,,العاشرة,ثقة,ثقة
3894,عبد الله بن محمد بن صيفي,,,أبو يحيى,المخزومي ، القرشي,,والد يحيى,,,,,,,,الثالثة,مقبول,وثق
3895,عبد الله بن محمد بن عقيل بن أبي طالب بن عبد المطلب,,,أبو محمد,الهاشمي ، الطالبي ، القرشي ، المدني,كان ينزل الحيرة,أمه زينب الصغرى بنت علي ، وخاله محمد بن علي بن أبي طالب المعروف بابن الحنيفة ، ومن ولده فيما ذكره ابن سعد : محمد ، وهرم ، وأم هاني ، ومسلم ، وعقيل,,,بعد 140 هـ ، أو 142 هـ ، او 145 هـ ،,,المدينة,,,الرابعة,صدوق في حديثه لين ، ويقال : تغير بآخره,قال أبو حاتم وعدة : لين الحديث . وقال ابن خزيمة : لا أحتج به
3896,عبد الله بن محمد بن عبد الرحمن بن المسور بن مخرمة بن نوفل,,,,"الزهري , البصري ، القرشي ، المسوري ، المخرمي",,,,,256 هـ,,,,,من صغار العاشرة,صدوق,
3897,عبد الله بن محمد بن عبد الله بن زيد بن عبد ربه,,,,"الأنصاري , المدني , الخزرجي",,,,,,,,,,السادسة,مقبول,وثق
3898,عبد الله بن محمد بن علي بن نفيل بن زراع بن علي ، وقيل : ابن عبد الله بن قيس بن عصم بن كرز بن هلال بن عصم بن نصر ، وقيل : نصر بن زمان بن خزيمة بن نهد بن زيد بن ليث بن سود بن أسلم بن الحاف بن قضاعة,,الحافظ,أبو جعفر ، أبو عبد الله,"النفيلي , القضاعي , الحراني ، الحافظ ، النهدي",حران,,,,234 هـ,,,,,كبار العاشرة,ثقة حافظ,قال أبو داود : ما رأيت أحفظ منه ، وكان أحمد يعظمه . وقال ابن واره : هو من أركان الدين
3900,عبد الله بن محمد بن عبد الله بن أبي فروة بن خزيمة,,,أبو علقمة,"الأموي مولاهم , الفروي , المدني ، القرشي ، مولى آل عثمان بن عفان",,مولى آل عثمان بن عفان ، وجد هارون بن موسى الفروي ، وعمه إسحاق بن عبد الله بن أبي فروة ، وعمه عبد الحكيم بن عبد الله ابن أبي فروة ، وعم الربيع حاجب المنصور,,,190 هـ,,,,,الثامنة,صدوق,ثقة
3901,عبد الله بن محمد بن عمر بن علي بن أبي طالب,,دافن,أبو محمد,الهاشمي ، القرشي ، العلوي ، المدني,,أمه خديجة بنت علي بن الحسين بن علي بن أبي طالب ، وخاله أبو جعفر محمد بن علي بن الحسين بن علي بن أبي طالب ، وزوجته أم الحسين بنت عبد الله بن محمد بن علي بن أبي طالب ، وأولاده : أحمد ، ومحمد ، وعبيد الله ، وعيسى ، ويحيى ، وأم عبد الله ، وإخوته : عمر ، وعبد الله ، وعبيد الله ، وأم كلثوم,,,في اخر خلافة أبي جعفر المنصور,,دمشق أو بالمدينة,,,السادسة,مقبول,ثقة
3902,عبد الله بن محمد بن عبد الله بن جعفر بن اليمان بن أخنس بن خنيس,المسندي,المسندي ، الحافظ,أبو جعفر,"الجعفي , البخاري , المسندي , الحافظ",واسط,جده اليمان بن أخنس أحد أجداد البخاري من فوق,,,قبل 220 هـ ، أو 229 هـ,,بخارى,بخارى ، العراق ، الحجاز,,العاشرة,ثقة حافظ ، جمع المسند,الحافظ المسندي
3903,عبد الله بن محمد بن علي بن أبي طالب,,,أبو هاشم,"الهاشمي , العلوي ، القرشي ، المدني",الشام,أخو الحسن بن محمد بن الحنفية ، وابنه عيسى بن عبد الله بن محمد ابن الحنفية ، وإخوته : حمزة ، وجعفر الأكبر ، ورجاء ، وعلي ، لأم ولد تدعى نائلة,ويقال : إنه أول من تكلم في الإرجاء,,98 هـ ، أو 99 هـ,,بالحميمة في عسكر الوليد بدمشق ، وقيل : بالحجر من بلاد ثمود,,,الرابعة,ثقة ، قرنه الزهري بأخيه الحسن,
3904,عبد الله بن محمد بن معن,,,,"الغفاري , المدني",,,,,,,,,,الثالثة,مقبول,وثق
3905,عبد الله بن محمد بن يحيى,الضعيف,الضعيف,أبو محمد,الطرسوسي ، الضعيف,,,,,,,,,,العاشرة,ثقة,وثقه النسائي
3906,عبد الله بن محيريز بن جنادة بن وهب بن لوذان بن سعد بن جمح بن عمرو بن هصيص بن كعب بن لؤي بن غالب,,,أبو محيريز,"الجمحي , المكي ، القرشي ، الشامي",وسكن بيت المقدس ،  مكة,من رهط أبي محذورة ، وكان يتيما في حجره ، أخو عبد الرحمن ، وابنه عبد الرحمن بن عبد الله بن محيريز,,,99 هـ ، أو في ولاية الوليد بن عبد الملك,,,,,الثالثة,ثقة عابد,قال رجاء بن حيوة : إن فخر علينا أهل المدينة بابن عمر فإنا نفخر بعابدنا ابن محيريز ، إن كنت لأعد بقاءه أمانا لأهل الأرض
3907,عبد الله بن المختار,,,,البصري,,,,,121 هـ : 130 هـ,,,,,السابعة,لا بأس به,قال ابن معين : ثقة
3908,عبد الله بن مخلد بن خالد بن عبد الله,,,"أبو محمد , ويقال : أبو بكر","التميمي , النيسابوري , النحوي",خراسان,صاحب أبي عبيد ، وراوي كتبه بخراسان ، وعمه إسحاق بن حنبل,,,260 هـ,,,خراسان ، والبصرة ، والكوفة ، والحجاز,,الحادية عشرة,مقبول,
3909,عبد الله بن مرة,,,,"الهمداني , الخارفي , الكوفي",,,,,99 هـ ، أو 100 هـ ، أو 101 هـ,,,,,الثالثة,ثقة,ثقة
3910,عبد الله بن مرة,,,,"الزرقي , الأنصاري , المدني",,,,,,,,,,الخامسة,مجهول,
3911,أبو العنبس ، قيل : اسمه عبد الله بن مروان ، وقيل : لا يعرف اسمه,,,أبو العنبس,الكوفي,,,,,121 هـ : 130 هـ,,,,,السادسة,مقبول,
3912,عبد الله بن مسافع بن عبد الله الأكبر بن شيبة بن عثمان بن أبي طلحة : عبد الله بن عبد العزى بن عثمان بن عبد الدار بن قصي,,,,"العبدري , المكي , الحجبي ، القرشي ، الحجازي",,أمه سعدة بنت عبد الله بن وهب بن عثمان بن أبي طلحة ، وابن عمه مصعب بن عثمان بن شيبة ، وعمته صفية ، وابن عمته منصور,,,98 هـ ، أو 99 هـ,,دابق من أرض الشام,,,الرابعة,,
3913,عبد الله بن مسعود بن غافل بن حبيب بن شمخ بن مخزوم ، ويقال : ابن شمخ بن فار بن مخزوم بن صاهلة بن كاهل بن الحارث بن تميم بن سعد بن هذيل بن مدركة بن إلياس بن مضر بن نزار بن معد بن عدنان,,,أبو عبد الرحمن,الهذلي ، المكي ، المهاجري ، البدري ، الزهري حليفهم,الكوفة ، مكة,صاحب رسول الله صلى الله عليه وسلم ، وحليف بني زهرة ، وأمه أم عبد بنت عبد ود بن سواء بن قريم بن صاهلة بن كاهل بن الحارث بن تميم بن سعد بن هذيل ، وأمها هند بنت عبد بن الحارث بن زهرة ، وبنوه : عبد الرحمن وأبو عبيدة وعتبة وسارة ، وابن أخيه عبد الله بن عتبة ، وامرأته زينب الثقفية ، وآخى النبي صلى الله عليه وسلم بينه وبين الزبير ، وبعد الهجرة بينه وبين سعد بن معاذ ، وقيل : آخى النبي صلى الله عليه وسلم بين أنس وابن مسعود ، وقيل : آخى النبي صلى الله عليه وسلم بينه وبين معاذ بن جبل ، وقيل : بينه وبين الزبير، وأمره عمر على الكوفة ، ومن التابعين أصحابه الفقهاء الأسود ، ومسروق ، وعبيدة ، وشريح ، والحارث,,,28 هـ ، أو 32 هـ ، 33 هـ,,"المدينة , وقيل : بالكوفة ، والأول أثبت",الحبشة ، المدينة,,من السابقين الأولين ، ومن كبار العلماء من الصحابة,من السابقين الأولين ، ومن كبار العلماء من الصحابة ، مناقبه جمة,من السابقين الأولين
3914,عبد الله بن مسلم,,,أبو طيبة,السلمي ، المروزي ، ثم العامري ، القاضي,مرو,,,,161 هـ : 170 هـ,,,,,الثامنة,صدوق يهم,قال أبو حاتم : لا يحتج به ، وقواه غيره
3915,عبد الله بن مسلم,,الطويل,,"المدني , الحجازي , الطويل",,مولى محمد بن عبد الرحمن بن الحارث ، صاحب المقصورة ، ويقال : صاحب المصاحف,,,,,,,,السادسة,مقبول,وثق
3916,عبد الله بن مسلم بن جندب,,,,الهذلي ، المدني ، المقرئ,,,,,171 هـ : 180 هـ,,,,,الثامنة,لا بأس به,قال أبو زرعة : لا بأس به
3917,عبد الله بن مسلم بن عبيد الله عبد الله بن شهاب بن عبد الله بن الحارث بن زهرة,,,أبو محمد,"الزهري , القرشي ، المدني",,أخو محمد بن مسلم بن شهاب الزهري ، وكان أسن من محمد ، وابنه محمد بن عبد الله بن مسلم بن شهاب ، وأمه بنت أهبان بن لقيط بن عروة بن صخر بن يعمر بن تفاثة بن عدي بن الديل بن عبد مناة بن كنانة ، وإخوته : وإبراهيم وأم محمد,,,مات قبل أخيه الزهري ، وأخوه مات 124 هـ,,,,,الثالثة,ثقة,قال النسائي : ثقة ثبت
3918,عبد الله بن مسلم بن هرمز,,,أبو الجعفاء,المكي ، الفدكي,,عمه سليم بن هرمز المكي ، وقال البخاري : أحسبه أخا يعلى ، وقال ابن أبي حاتم عن أبيه : لم يصح عندي أنه أخو يعلى,,,141 هـ : 150 هـ,,,,,السادسة,ضعيف,ضعيف
3919,عبد الله بن مسلمة بن قعنب,,,أبو عبد الرحمن,"القعنبي , الحارثي , البصري, المدني الأصل","سكن المدينة , ونزل البصرة",أخواه : يحيى ، وإسماعيل,,,220 هـ ، أو 221 هـ,,"مكة , وقيل : بالبصرة",,,من صغار التاسعة,ثقة عابد,أحد الأعلام ، قال أبو حاتم : ثقة حجة لم أر أخشع منه . وقال أبو زرعة : ما كتبت عن أحد أجل في عيني منه
3920,عبد الله بن المسيب,,,أبو السوار ، أبو المسور,"القرشي مولاهم , الفارسي , المصري",,القرشي مولاهم ، مولى عمرو بن العجلان مولى عمر بن الخطاب ، وولاء خالد بن نجيح كاتب العمري لعبد الله بن المسيب,,,170 هـ ، أو بعدها,,,,,السابعة,مقبول,وثق
3921,"عبد الله بن مطر , ويقال : اسمه  زياد ، والأول أصح",أبو ريحانة,,أبو ريحانة,البصري ، السعدي ، ويقال : مولى بني ثعلبة بن يربوع,,مولى بني سعد ، ويقال : مولى بني ثعلبة بن يربوع,,,131 هـ : 140 هـ,,,,,الثالثة,صدوق تغير بآخره,قال ابن معين وغيره : صالح
3922,عبد الله بن مطرف بن عبد الله بن الشخير,,,أبو جزء,"العامري , البصري",,كاتبه عطية السراج,,,87 هـ,,,,,الثالثة,صدوق,
3923,عبد الله بن مطيع بن الأسود بن حارثة بن نضلة بن عوف بن عبيد بن عويج بن عدي بن كعب بن لؤي بن غالب,,,,القرشي ، العدوي  ، المدني,مكة ، الكوفة,أمه : أم هشام آمنة بنت أبي الخيار بن عبد ياليل بن عبد مناف بن عارم بن عوف بن كعب بن عامر بن ليث ، والد : إبراهيم ، ومحمد ، وإسحاق ، ويعقوب ، وبريهة ، وأم سلمة ، وأم هشام ، كان أمير أهل المدينة من قريش وغيرهم في وقعة الحرة ، واستعمله ابن الزبير على الكوفة,,في حياة رسول الله صلى الله عليه وسلم,73 هـ ، أو 74 هـ ، أو 76 هـ ، أو 77 هـ,,,,,له رؤية,له رؤية,
3924,عبد الله بن مطيع بن راشد,,,أبو محمد,البكري ، النيسابوري,بغداد,,,,237 هـ,,,,,العاشرة,ثقة,ثقة
3925,عبد الله بن معاذ بن نشيط,اليماني,,,الصنعاني ، اليماني ، البصري,نزيل مكة ، صنعاء,"صاحب معمر , مولى خالد بن غلاب",,,181 هـ ، أو قبل 190 هـ,,,مكة,,التاسعة,صدوق,صدوق
3926,عبد الله بن معانق,,,أبو معانق,"الأشعري , الدمشقي ، الشامي , وقيل: الأردني",,,,,في حدود 96 هـ,,,,,الثالثة,وثقه العجلي,وثق
3927,عبد الله بن معاوية,,,,الغاضري ، الحمصي ، الأسدي,نزل حمص,,,,,,,,,صحابي,صحابي,صحابي
3928,عبد الله بن معاوية بن موسى بن أبي غليظ : نشيط بن مسعود بن أمية بن خلف,,,أبو جعفر,الجمحي ، القرشي ، البصري,البصرة,,,,240 هـ ، أو 243 هـ,,البصرة,,,العاشرة,ثقة معمر,
3929,عبد الله بن معبد,,,,الزماني ، البصري ، الأنصاري,,,,,81 هـ : 90 هـ,,,,,الثالثة,ثقة,ثقة
3930,عبد الله بن معبد بن العباس بن عبد المطلب,,,,"الهاشمي ، العباسي ، القرشي , المدني",,والد إبراهيم بن عبد الله بن معبد بن عباس ، وعمه عبد الله بن عباس ، وأمه أم جميل بنت السائب بن الحارث بن حزن بن بجير بن الهزم بن رويبة بن عبد الله بن هلال بن عامر بن صعصعة,,,,,,,,الثالثة,ثقة قليل الحديث,ثقة
3931,"أبو معدان , اسمه عبد الله بن معدان , ويقال : عامر بن مرة",,,أبو معدان,المكي,,,,,,,,,,السابعة,مقبول,
3932,عبد الله بن معقل,,,,البصري,,,,,,,,,,السابعة,مجهول,لا يعرف
3933,عبد الله بن معقل بن مقرن,,,أبو الوليد,"المزني ,  الكوفي",,أخو عبد الرحمن,,,88 هـ ، وقيل : 83 هـ,,"البصرة , وقيل : أنقرة",,,من كبار الثالثة,ثقة,ثقة
3934,عبد الله بن معية ، ويقال : عبيد الله ، ويقال : عبيد,,,,السوائي ، العامري ، الطائفي ، الحجازي,,,,على عهد النبي صلى الله عليه وسلم,,,,,,الثانية,ثقة,
3935,عبد الله بن مغفل بن عبد نهم بن عفيف بن أسيحم بن ربيعة بن عدي بن ثعلبة بن ذويب بن سعد بن عداء بن عثمان بن عمرو بن أد بن طابخة بن إلياس بن مضر بن نزار بن معد بن عدنان,,,أبو سعيد ، وقيل : أبو عبد الرحمن ، وقيل : أبو زياد,المزني,سكن المدينة ، ثم تحول إلى البصرة,أمه : العيلة بنت معاوية بن معاوية المزنية ، كان له عدة أولاد ، منهم : سعيد ، وزياد ، وله ابن غير مسمى يقال : اسمه يزيد,,,قال مسدد : 59 هـ ، وقال ابن عبد البر : 60 هـ ، وقيل : 61 هـ,,البصرة,تستر,,صحابي,صحابي ، بايع تحت الشجرة,من أصحاب الشجرة
3936,عبد الله بن مكنف,,,,"الأنصاري , الحارثي ، المدني",,,,,,,,,,الخامسة,مجهول,واه
3937,عبد الله بن ملاذ,,,,"الأشعري , الدمشقي ، الشامي",,,,,,,,,,السابعة,مجهول,مجهول
3938,عبد الله بن المنيب بن عبد الله بن أبي أمامة بن ثعلبة,,,,الأنصاري ، الحارثي ، المدني,,,,,181 هـ : 190 هـ,,,,,السابعة,لا بأس به,صدوق
3939,عبد الله بن منير,,الحافظ,أبو عبد الرحمن,"المروزي , الحافظ , الزاهد",فربر,,,,241 هـ ، أو 243 هـ,,فربر,,,الحادية عشرة,ثقة عابد,الحافظ
3940,عبد الله بن منين,,,,"اليحصبي , المصري ، من بني عبد كلال",,,,,,,,,,الثالثة,وثقه يعقوب بن سفيان,
3941,عبد الله بن المهاجر,,,,"الشعيثي , النصري , الدمشقي ، الشامي",,والد محمد بن عبد الله الشعيثي,,,,,,,,السادسة,مقبول,
3942,"عبد الله بن موسى بن إبراهيم بن محمد بن طلحة بن 
عبيد الله",,,أبو محمد,الطلحي ، التيمي ، القرشي ، المدني ، الحجازي,,,,,181 هـ : 190 هـ,,,,,الثامنة,صدوق كثير الخطأ,شيخ
3943,عبد الله بن مولة,,,,القشيري,,,,,,,,,,الرابعة,مقبول,صدوق
3944,عبد الله بن ميسرة,,,أبو ليلى ، أبو إسحاق ، أبو عبد الجليل ،أبو جرير,الحارثي ، الكوفي ، ويقال : الواسطي ، السجستاني,,,,,171 هـ : 180 هـ,,,,,السادسة,ضعيف,واه
3945,عبد الله بن ميمون بن داود,,,,القداح ، المخزومي مولاهم ، المكي ، القرشي ، مديني ، مولى آل الحارث بن أبي ربيعة,مكة,مولى بني مخزوم ، مولى آل الحارث بن أبي ربيعة,,,في حدود 200 هـ,,,,,الثامنة,منكر الحديث ، متروك,قال البخاري : ذاهب الحديث
3946,"أبو صادق , قيل : اسمه  مسلم بن يزيد ، وقيل : عبد الله بن ناجد",,,أبو صادق,الأزدي ، الكوفي,,أخو ربيعة بن ناجد,,,,,,,,الرابعة,صدوق,وثق
3947,عبد الله بن نافع,,,أبو بكر,العدوي مولاهم ، القرشي ، المدني,,مولى عبد الله بن عمر ، أخواه عمر ، و أبو بكر,,,154 هـ,,,,,السابعة,ضعيف,ضعفوه
3948,عبد الله بن نافع,,,أبو جعفر,"الكوفي , الهاشمي مولاهم",,مولى الحسن بن علي,,,,,,,,الثالثة,صدوق,
3949,عبد الله بن نافع بن أبي نافع,,,أبو محمد,"الصائغ , المخزومي مولاهم , المدني ، القرشي",المدينة,مولى بني مخزوم,كان يفتي أهل المدينة برأي مالك,,206 هـ ، أو 207 هـ,,المدينة,,,من كبار العاشرة,ثقة ، صحيح الكتاب ، في حفظه لين,قال البخاري : في حفظه شيء ، وقال ابن معين : ثقة
3950,عبد الله بن نافع بن ثابت بن عبد الله بن الزبير بن العوام ، وهو عبد الله بن نافع الأصغر,,,أبو بكر,الزبيري ، الأسدي ، القرشي ، المدني,,ابنه أحمد بن عبد الله بن نافع الزبيري ، وأخوه عبد الله بن نافع الزبيري الأكبر ، وابن عمه عبد الله بن محمد بن يحيى بن عروة بن الزبير,,,215 هـ ، أو 216 هـ ، وقيل 210 هـ ، وقيل 220 هـ ، وقيل 225 هـ,,,,,من كبار العاشرة,صدوق,ثقة زاهد عابد
3951,عبد الله بن نافع بن العمياء,,,,,,,,,,,,,,الثالثة,مجهول,قال البخاري : لم يصح حديثه
3952,عبد الله بن نجي بن سلمة بن حشم بن أسد بن خليبة,,,أبو لقمان,الحضرمي ، الكوفي,,,,,81 هـ : 90 هـ,,,,,الثالثة,صدوق,وثقه النسائي . وقال البخاري : فيه نظر
3953,عبد الله بن نسطاس,,,,"المدني , الكندي مولاهم",,مولى كثير بن الصلت الكندي ، وأخو عبد الله بن بسطام شيخ الزهري,,,,,,,,الرابعة,وثقه النسائي,
3954,عبد الله بن النعمان,,,,"السحيمي , اليمامي",,,,,,,,,,السادسة,مقبول,وثق
3955,عبد الله بن نمير,,,أبو هشام,"الهمداني , الخارفي مولاهم , الكوفي",,الخارفي مولاهم ، والد محمد بن عبد الله بن نمير ، وصلى عليه محمد بن بشر العبدي ، وكان له صديقا,,115 هـ,199 هـ,,,,,كبار التاسعة,ثقة ، صاحب حديث من أهل السنة,حجة
3956,عبد الله بن نيار بن مكرم,,,,الأسلمي ، المدني ، الحجازي,,ابن أخت عمرو بن شاس الأسلمي,,,110 هـ : 120 هـ,,,,,الثالثة,ثقة,ثقة
3957,"عبد الله بن هارون , ويقال : ابن أبي هارون",,,,الحجازي,,,,,,,,,,الثالثة,مجهول,
3958,عبد الله بن هارون,,,,"الحجازي , الكوفي ، البجلي ، الصوفي ، ويقال الصدفي",,,,,,,,,,السابعة,مقبول,
3960,عبد الله بن هاشم بن حيان,,,"أبو عبد الرحمن , وقيل : أبو محمد","العبدي , الراذكاني ، الطوسي",سكن نيسابور ، نزيل بغداد,,,,255 هـ ، أو 258 هـ ، أو 259 هـ,طوس,,بغداد ، نيسابور,,صغار العاشرة,ثقة ، صاحب حديث,حافظ ثقة
3961,عبد الله بن هانئ,,,أبو الزعراء,"الكندي , الأزدي , الكوفي ، الحضرمي",,خال سلمة بن كهيل,,,,,,,,الثانية,وثقه العجلي,
3962,عبد الله بن هانئ بن عبد الله بن الشخير,,,أبو الحصين ، أبو الحسين,"العامري , البصري ، الحرشي",,عمه مطرف بن عبد الله بن الشخير,,,,,,,,السادسة,مقبول,
3963,عبد الله بن هبيرة بن أسعد بن كهلان,,,أبو هبيرة,"السبئي , الحضرمي , المصري",,,,ولد سنة الجماعة,126 هـ,,,,,الثالثة,ثقة,ثقة
3964,عبد الله بن هشام بن زهرة بن عثمان بن عمرو بن كعب بن سعد بن تيم بن مرة,,,,التيمي ، القرشي ، المصري ، يقال الزهري,المدينة,جد أبي عقيل زهرة بن معبد المصري ، وأمه زينب بنت حميد,,4 هـ,في خلافة معاوية,,,,,صحابي صغير,صحابي صغير,له صحبة
3965,عبد الله بن هلال بن عبد الله بن همام,,,,الثقفي ، الطائفي ، المكي,مكة,,,,,,,,,مختلف في صحبته,مختلف في صحبته ، أثبتها ابن حبان ، وقال أبو عمر : حديثه مرسل,
